people_ID,Infect_Prob
5942,52.74015982
18664,52.33375489
5603,51.28722182
5649,52.70104545
5099,53.60392531
18749,50.62615215
5228,52.35178151
5559,52.65563685
5220,52.53405773
5476,51.5959964
5260,53.12353089
17638,53.07132404
18635,52.48041555
18794,52.72128
5263,51.28722182
17680,68.3424
18030,52.53405773
18090,52.53501212
18455,52.4055863
18155,52.79479813
18116,65.41344
18144,52.40655962
5218,54.67392
5386,51.01879843
18105,52.75128279
5735,52.70104545
5900,52.75372904
18391,52.96727283
5786,53.93172922
18639,53.60392531
17984,52.41716502
18274,50.37167993
5425,53.02563405
6076,53.07288286
18545,51.3089542
17697,32.21856
6137,52.46535927
6083,52.42903897
17730,52.79479813
5896,31.24224
18906,52.48041555
17808,52.48041555
6078,52.63667077
5516,52.58315333
18093,52.60757246
6120,52.46535927
18154,52.74015982
17935,52.39342752
18769,86.89248
18264,52.39836863
18076,50.43306941
18035,53.06217979
18051,52.98637446
18676,52.48262441
5332,52.4877287
5898,90.79776
18370,52.33008676
17706,52.52194945
5198,53.21038759
18360,51.80831743
18240,52.75128279
18691,52.51915817
5768,52.48041555
18315,52.48008942
18776,52.05892743
6225,52.56494211
17983,63.4608
17973,52.72269913
5805,59.55552
5500,52.61954111
5305,52.69056251
18243,52.44149795
5169,52.53281386
5258,52.9718782
17810,95.67936
5714,52.48041555
6070,52.50875202
5959,43.9344
18771,52.75128279
17765,53.1816434
18822,52.74015982
17735,61.50816
17966,52.68295695
18861,53.12120634
18236,51.01098922
18750,41.98176
17809,35.14752
6049,52.44149795
18465,52.80297674
6201,52.96980235
18877,52.65563685
5087,52.53405773
17742,51.28722182
17941,74.20032
18421,51.4283005
18489,51.4283005
6299,43.9344
18428,51.80831743
5563,92.7504
18796,39.0528
5849,52.88816329
5661,52.75128279
5893,52.48041555
5378,75.17664
5622,52.75128279
5823,52.78484832
18521,50.62615215
5502,52.80297674
18785,51.01098922
17783,52.96980235
18424,59.55552
18147,52.39836863
18881,41.98176
18851,51.03774734
17686,53.06217979
5100,52.35178151
5213,52.90193633
18252,51.01098922
5576,52.48041555
18050,51.06321969
5875,52.70104545
6059,52.79479813
18599,52.78484832
5173,52.37278469
5461,51.72285706
5151,40.02912
5266,51.03774734
5514,92.7504
5224,52.75128279
18069,51.01098922
5587,51.28722182
17874,51.3089542
5536,52.37375704
5215,52.75128279
5400,92.7504
17857,52.59746384
6043,72.24768
18330,50.70562664
18333,53.17094956
17788,52.33008676
18332,92.7504
17836,51.58228803
5247,51.62129179
5922,52.56176434
18641,60.53184
5951,53.6976
18807,52.75128279
18293,88.84512
18775,52.37789073
5601,52.51915817
5102,53.03936297
18464,53.30722391
17713,52.46535927
18557,52.33375489
18854,52.63882495
18401,53.86907353
18699,69.31872
5706,52.72128
5747,52.5697637
5496,51.28722182
18308,51.72285706
5345,32.21856
18525,51.80831743
18258,69.31872
6062,52.53963177
17921,53.06217979
5303,52.65563685
18592,52.4877287
5814,51.28722182
18805,52.5697637
5910,52.70104545
5201,52.37789073
5724,50.76864
17693,52.48041555
5407,52.9718782
18617,52.7409764
18173,51.4283005
18875,52.15581078
5225,51.03774734
5858,51.3089542
5091,52.5697637
5254,52.75128279
18801,52.69056251
6009,52.43945148
18149,51.01098922
6105,52.50875202
5974,52.62074379
17967,74.20032
5781,52.65563685
5834,52.7409764
17683,51.28722182
5338,52.37375704
18400,67.36608
18633,50.62615215
6162,52.44149795
18598,52.56523477
5212,52.42842785
18731,50.17624432
18177,52.38245216
5232,51.28722182
5753,51.71777652
5118,53.93172922
18055,77.12928
18151,33.19488
5572,52.51915817
18502,51.03774734
18178,51.3089542
6276,52.79284417
5226,83.96352
18411,53.26170883
6134,51.28722182
5177,52.01227877
18031,51.97724579
17853,52.82767118
6171,51.4283005
5725,33.19488
6282,51.4283005
18762,51.72285706
17909,52.44149795
18357,50.62615215
5981,51.28722182
5862,52.30876446
18461,50.62615215
5275,52.37375704
6084,52.79479813
18403,52.75128279
17856,51.3089542
17723,52.75128279
6103,52.53281386
17897,51.28722182
6042,52.53405773
6219,38.07648
5697,88.84512
18636,34.1712
5343,50.71285979
5994,52.96805615
5956,52.72128
5666,52.97489542
18791,52.75372904
5686,52.48041555
6027,52.96805615
5751,52.75128279
18812,77.12928
18688,51.17286314
18441,83.96352
5508,51.28722182
5889,52.63882495
5843,51.3089542
5459,52.74497058
18141,51.01098922
18757,29.2896
6313,52.38257362
6032,61.50816
18475,52.53405773
17702,52.37278469
5815,52.07276533
18816,52.44149795
18589,51.3089542
17738,52.72423375
18553,51.17286314
5538,51.28722182
18472,52.44149795
5453,52.41691588
18026,50.80640513
18409,53.93172922
5444,51.28722182
17965,50.80640513
18541,51.01098922
5371,52.53405773
6051,49.89758181
18882,52.27586737
5108,51.62129179
6005,90.79776
5380,52.74497058
6151,51.28722182
18195,52.80297674
17695,51.72285706
5101,52.55003672
5255,52.05892743
5579,51.28722182
18509,51.01098922
5257,52.65563685
6310,65.41344
5431,52.5697637
17703,51.48828431
18316,53.17094956
5174,50.71285979
18337,49.56485861
18515,52.63667077
17993,72.24768
6232,51.80831743
5339,51.28722182
5972,52.07276533
6097,49.56485861
5130,50.71285979
5934,52.37278469
17646,52.72128
5803,51.28722182
18134,59.55552
18301,51.3089542
18071,52.53405773
5973,51.28722182
17972,33.19488
6212,90.79776
17886,52.79479813
18584,51.97724579
18027,52.46535927
5093,52.55003672
5817,53.03936297
5519,51.55070519
18127,49.56485861
6144,52.75128279
5430,52.75128279
6179,51.28722182
5921,52.96805615
5788,51.28722182
17960,52.53963177
5682,52.51915817
5713,51.72285706
18735,49.89758181
18693,52.5697637
6256,49.56485861
18064,51.01098922
18302,50.4323616
5620,51.72285706
18010,52.48041555
18647,50.37167993
5749,51.28722182
18286,51.01098922
5381,51.28722182
6012,51.72285706
18043,52.37789073
18845,50.80640513
17736,51.28722182
17919,51.72285706
5297,51.16865351
17651,50.43306941
5109,52.48041555
5756,50.17624432
17628,49.56485861
6237,52.48041555
18407,51.46185569
5157,51.97724579
17902,51.72285706
18650,51.7610529
5589,52.75128279
6010,51.28722182
18792,51.01098922
17932,50.62615215
18568,50.80640513
17684,51.01879843
5573,49.56485861
17685,51.4283005
5948,31.24224
5469,51.28722182
18736,38.07648
17664,49.56485861
6319,30.26592
5421,51.03774734
18648,51.3089542
18369,71.27136
6065,52.56494211
18486,52.53405773
5259,51.28722182
18524,47.83968
17774,51.28722182
5955,51.28722182
17701,51.28722182
6312,52.07276533
18094,52.65563685
17647,51.28722182
5515,39.0528
18087,50.37167993
18278,52.96805615
18868,49.89758181
18764,50.80640513
5478,51.28722182
6091,51.3089542
18358,50.37167993
18570,88.84512
17994,50.80640513
17931,51.01098922
18476,50.80640513
6314,49.56485861
5727,33.19488
5879,44.91072
6240,51.55070519
17663,50.17624432
18457,94.70304
18562,50.37167993
17908,44.91072
18183,49.56485861
5203,52.96805615
18658,51.16865351
18745,52.44149795
17889,51.28722182
5185,56.62656
6161,51.28722182
5833,52.39836863
5348,52.6355516
6261,52.05892743
5841,51.72285706
5503,51.28722182
5187,51.62129179
18789,51.03774734
5674,51.28722182
18768,50.62615215
18430,51.06321969
5931,51.28722182
18787,53.6976
5284,52.5697637
18544,50.62615215
18726,50.37167993
17907,51.28722182
17850,52.56523477
18073,49.56485861
5631,51.28722182
